,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
CustomerID,-0.005964525816826639,0.02787739260292392,-0.022592286703844566,-0.19890665730875748,-0.07874749598593087,-0.0035325639930846395,-0.09065074266725363,-0.10599844603912172,-0.22079076605534464
Transaction_ID,0.16526631965695213,-0.3113641648973663,-0.09572116059838022,0.3657132442845161,0.48034737255724325,0.045225005660675485,-0.08785973386835516,-0.09731354257483275,-0.008241450792904764
Quantity,0.07833463770866693,0.6784053176009847,0.39177292135847414,0.13657475024378446,0.21925889625125913,0.055713605449862126,0.05536269247771983,0.06258743936196007,-0.021005826583180304
Avg_Price,0.8511592051046808,-0.3472112605474971,0.2098040703483014,-0.0394548266888864,-0.014125117619114674,0.011955775738838891,-0.014366275577892246,0.011040176367726676,-0.033058106833960106
Delivery_Charges,-0.05248275727003472,0.4904857347744646,0.21136119162843894,0.045319143688370124,0.17403250535930778,-0.0229880266117999,-0.04892058039809043,0.07974538556403488,-0.10152697178290228
Tenure_Months,0.00614209865521326,-0.006506030177382661,-0.05002174475357552,0.2195006300232651,0.1445843785570277,0.0398925104530422,0.2863860569392319,-0.19185698251910574,0.07339063355670307
GST,-0.873545106101798,-0.18160713677260365,0.4189224849276475,0.00974621866232773,0.01185493766737094,0.0008010323181994605,-0.054024965111830754,-0.05952573395481807,0.029722406720253433
Discount_pct,0.030926944581670363,-0.2079205448360083,-0.10058412869513994,0.3257034400459422,0.3173704785220264,0.023141675325751614,-0.045436470467618145,-0.10077636673780711,0.09462094647431658
Product_Category_Android,1.321291693822433e-05,0.047118312448633626,-0.03152635594478598,0.026933617235144047,0.005333596158566652,-0.032285856756930936,-0.07381985407738596,-0.08116838209849943,0.16311605717078986
Product_Category_Apparel,-0.6503286881284798,-0.34639711513062243,0.24682185729569342,-0.009244017871788357,0.178684896206848,0.07751154544154018,0.20044205533565132,0.4109449048115327,-0.27850173451843924
Product_Category_Bags,-0.10402755599382366,0.054635950760047874,0.11791684021323365,0.12329926421862017,0.03238038117349822,0.0031162891769724714,-0.08205019491405849,-0.12989511437956755,0.11281375745690841
Product_Category_Bottles,0.02908521520429838,0.06501730406782112,-0.22963244016084627,0.04267409748744212,0.03935526854946819,0.027459167436158963,0.09920552242516027,0.04676621831789937,0.03707874518201287
Product_Category_Drinkware,-0.18637225428938126,0.13950249452483673,0.14782594066779392,0.03209303504345869,-0.022221431298231058,-0.007331906239333913,-0.1741113943892561,-0.34880113592388573,0.23005586902283898
Product_Category_Gift Cards,0.06994737618007732,-0.01075066878850654,-0.09622601249477779,0.02982374313790262,-0.07286448646250901,-0.02493215418394591,-0.07469378331629888,0.1859790488719381,0.023517971198411588
Product_Category_Headgear,0.06774078590008219,0.11974710565993521,-0.2622875548053694,-0.057389966582323794,-0.07986179777093234,0.0510898972152203,-0.030144735823804697,-0.08190424974658617,0.08235416507724794
Product_Category_Housewares,-0.010989016590576694,0.07205194763292373,0.009184693290742172,0.010469298859503502,-0.06433972977180014,-0.014770154928475127,0.005730780582485642,-0.037949240269181145,-0.05686987353464009
Product_Category_Lifestyle,-0.20195758540516578,0.10502488007295407,0.07425566378874357,0.019972965844528238,-0.08955971497075095,-0.05472358456690492,-0.2856906522671485,-0.465853433764418,0.20573839795805082
Product_Category_Nest,0.44055102245920214,-0.1916270366167789,-0.07719855926826123,0.25920619872548045,0.47236551962919826,0.06299880970870037,-0.017430393620171205,-0.11691054808296893,-0.15924807078681497
Product_Category_Nest-Canada,0.09942252446098737,-0.008379282486255111,0.05095541670006565,-0.014442808176696827,0.04632394193933915,0.12757327675479344,0.07132735603064679,-0.11617391584301055,0.07686885461181862
Product_Category_Nest-USA,0.7084833327092467,-0.216607906277002,0.20417713448494498,-0.23023591372909435,-0.37940539549730184,-0.07485417563245671,-0.02712069904993742,0.05868826752627154,0.08027367146802128
Product_Category_Notebooks & Journals,0.0813983478863365,0.2920288236517232,-0.11861876628372406,-0.0048316218877906035,0.109471155162485,0.046044656305563106,-0.07317572539484832,0.04047335747091249,0.057525635530350706
Product_Category_Office,-0.005952818456584218,0.5237712341311376,-0.5972736768285345,0.044281777184189255,0.0024103633634686133,-0.04913831614329749,0.18358726106613035,0.13944955617464722,-0.13051386020869957
Product_Category_Waze,-0.08135843785315149,-0.0069535462482859045,-0.05042605762231928,0.04839712143100859,0.03613635640982377,-0.06443901496944493,-0.08349077185083224,-0.1739203474629262,0.16118965650411327
Coupon_Status_Not Used,0.004969718147727037,-0.010197236981668032,0.021392614566479277,0.08927043993277384,0.0739395960146764,-0.7677303869391362,-0.0626382031481525,0.024079763786087036,-0.08956390496756868
Coupon_Status_Used,-0.01057818641316006,0.004591047747810978,-0.027130607612374014,-0.05231278803458856,-0.0701721417654749,0.7878459968497254,0.004994598001868329,-0.03895137119374836,0.04032525105654508
Gender_M,0.012872870232298642,-0.021924686241130704,0.008350872087119765,0.027804998785497668,-0.05384926622051078,0.019796063500647283,0.32891846702286365,-0.3259575579464058,-0.35123112479971536
Location_Chicago,0.0012387425973796543,0.013429894751767165,0.020888903402295312,0.7090651249017569,-0.46946449182809125,0.06353574572867383,-0.22690598746801682,0.13486900133461852,-0.16383377993976392
Location_New Jersey,-0.000805269965082748,-0.05147956206068141,0.03272598192915093,-0.09788284495904745,0.1542074893342784,-0.08855411443308749,0.44478513690106386,0.2131177952771494,0.692008074278808
Location_New York,-0.00974497990358426,0.0030241489865908923,-0.10732837312268319,-0.611970123033895,0.4230263752688075,0.03417301271654687,-0.42795607426878307,-0.0036537027042480574,-0.18032685680977928
Location_Washington DC,0.011202543386205258,0.013852186514169163,0.09918775756216429,-0.16305696307008707,-0.07441676978337476,-0.08187061893855972,0.521440093574631,-0.46991277773176543,-0.2665025745581465
Invoice_value,0.5641681136544189,0.36237933049372517,0.5620885885902639,0.04739584121217557,0.15095020687916857,0.05041012075653694,0.02603506234909544,0.10068285435380045,-0.046298411368735935
